CpG	TF_name	in_MeDReader	part_tested	class	note
cg12285371	ELF2	TRUE	FL	MethylMinus	NA
cg12285371	ELK1	TRUE	DBD	MethylMinus	NA
cg12285371	ETS2	TRUE	FL	MethylMinus	NA
cg12285371	ETV7	TRUE	FL	MethylMinus	NA
cg12285371	FLI1	TRUE	FL	MethylMinus	NA
cg12285371	NFATC3	TRUE	DBD	MethylPlus	NA
cg17479100	NFATC3	TRUE	DBD	MethylPlus	NA
cg17479100	TFAP2A	TRUE	FL	MethylMinus	NA
cg17479100	TFAP2B	TRUE	DBD	MethylMinus	NA
cg17479100	TFAP2C	TRUE	DBD	MethylMinus	NA
cg17479100	TFAP2E	TRUE	FL	MethylMinus	NA
cg25034591	TFAP2C	TRUE	DBD	MethylMinus	NA
cg25153266	GSX2	TRUE	DBD	MethylPlus	NA
cg26175661	JUND	TRUE	DBD	MethylMinus	NA
